12-19-1990	96.05	99.98	95.79	99.98	1260	494000.000
12-20-1990	104.30	104.39	99.98	104.39	197	84000.000
12-21-1990	109.07	109.13	103.73	109.13	28	16000.000
12-24-1990	113.57	114.55	109.13	114.55	32	31000.000
12-25-1990	120.09	120.25	114.55	120.25	15	6000.000
12-26-1990	125.27	125.27	120.25	125.27	100	53000.000
12-27-1990	125.27	125.28	125.27	125.28	66	104000.000
12-28-1990	126.39	126.45	125.28	126.45	108	88000.000
12-31-1990	126.56	127.61	126.48	127.61	78	60000.000
01-02-1991	127.61	128.84	127.61	128.84	91	59000.000
01-03-1991	128.84	130.14	128.84	130.14	141	93000.000
01-04-1991	131.27	131.44	130.14	131.44	420	261000.000
01-07-1991	131.99	132.06	131.45	132.06	217	141000.000
01-08-1991	132.62	132.68	132.06	132.68	2926	1806000.000
01-09-1991	133.30	133.34	132.68	133.34	5603	3228000.000
01-10-1991	133.93	133.97	133.34	133.97	9990	5399000.000
01-11-1991	134.61	134.61	134.51	134.60	13327	7115000.000
01-14-1991	134.11	135.19	134.11	134.67	12530	6883000.000
01-15-1991	134.21	134.74	134.19	134.74	1446	1010000.000
01-16-1991	134.19	134.74	134.14	134.24	509	270000.000
01-17-1991	133.67	134.25	133.65	134.25	658	334000.000
01-18-1991	133.70	134.25	133.67	134.24	3004	1570000.000
01-21-1991	133.70	134.24	133.66	134.24	2051	1029000.000
01-22-1991	133.72	134.24	133.66	133.72	354	180000.000
01-23-1991	133.17	133.72	133.14	133.17	1095	575000.000
01-24-1991	132.61	133.17	132.57	132.61	1857	917000.000
01-25-1991	132.05	132.07	132.03	132.05	3447	1722000.000
01-28-1991	131.46	131.55	131.46	131.46	5107	2565000.000
01-29-1991	130.95	130.97	130.95	130.95	1387	710000.000
01-30-1991	130.44	130.95	130.41	130.44	527	260000.000
01-31-1991	129.93	130.46	129.93	129.97	510	244000.000
02-01-1991	129.50	129.97	129.45	129.51	345	140000.000
02-04-1991	129.05	129.58	129.05	129.05	553	273000.000
02-05-1991	128.56	128.58	128.53	128.58	8562	4250000.000
02-06-1991	129.13	129.15	128.06	129.14	6641	3847000.000
02-07-1991	129.74	129.79	129.14	129.79	2133	1504000.000
02-08-1991	130.36	130.39	129.79	130.38	1234	879000.000
02-11-1991	130.92	130.97	130.39	130.97	9317	4834000.000
02-12-1991	131.54	131.56	130.97	131.35	3774	1986000.000
02-13-1991	131.93	131.93	131.35	131.92	1152	673000.000
02-14-1991	132.53	132.53	132.30	132.53	3624	1883000.000
02-19-1991	133.12	133.14	133.08	133.13	1748	1216000.000
02-20-1991	133.63	133.67	133.13	133.67	876	520000.000
02-21-1991	134.24	134.28	133.67	134.28	3220	1771000.000
02-22-1991	134.85	134.87	134.28	134.87	3427	2003000.000
02-25-1991	134.37	134.87	134.33	134.40	810	621000.000
02-26-1991	133.90	134.44	133.90	133.93	1094	2545000.000
02-27-1991	133.44	133.98	133.44	133.47	214	141000.000
02-28-1991	132.99	133.52	132.98	133.01	2258	1187000.000
03-01-1991	132.53	132.53	132.47	132.53	7124	3777000.000
03-04-1991	132.09	132.09	131.98	131.99	2518	1418000.000
03-05-1991	131.42	131.99	131.41	131.46	982	934000.000
03-06-1991	130.89	130.95	130.89	130.94	719	1345000.000
03-07-1991	130.41	130.94	130.41	130.41	568	427000.000
03-08-1991	129.84	130.41	129.84	129.89	933	541000.000
03-11-1991	129.30	129.89	129.30	129.31	514	299000.000
03-12-1991	128.73	129.31	128.73	128.77	957	783000.000
03-13-1991	126.13	128.77	126.13	126.15	498	418000.000
03-14-1991	125.61	126.15	125.61	125.63	326	242000.000
03-15-1991	125.08	125.62	125.08	125.17	790	403000.000
03-18-1991	124.70	125.17	124.69	124.71	1250	1210000.000
03-19-1991	124.23	124.71	124.22	124.22	892	682000.000
03-20-1991	123.66	124.21	123.63	123.66	678	433000.000
03-21-1991	123.14	123.66	123.12	123.12	151	131000.000
03-22-1991	122.62	123.12	122.62	122.62	207	120000.000
03-25-1991	122.12	122.62	122.10	122.12	443	324000.000
03-26-1991	121.62	122.14	121.62	121.62	1164	709000.000
03-27-1991	121.12	121.64	121.12	121.12	668	366000.000
03-28-1991	120.65	121.15	120.61	120.61	961	505000.000
03-29-1991	120.16	120.61	120.11	120.19	2185	2186000.000
04-01-1991	120.69	120.73	119.68	120.73	11999	5666000.000
04-02-1991	121.21	121.29	120.73	121.21	816	387000.000
04-03-1991	121.71	121.71	121.21	121.71	2063	977000.000
04-04-1991	122.20	122.20	121.24	121.72	10517	5045000.000
04-05-1991	121.07	121.73	121.03	121.54	11589	6035000.000
04-08-1991	121.11	121.11	121.05	121.09	1862	1675000.000
04-09-1991	120.60	121.10	120.60	120.62	320	297000.000
04-10-1991	120.15	120.62	120.09	120.16	466	281000.000
04-11-1991	119.64	120.16	119.62	119.64	239	576000.000
04-12-1991	119.20	119.65	119.15	119.21	399	301000.000
04-15-1991	118.73	119.22	118.72	118.77	301	386000.000
04-16-1991	118.36	118.77	118.34	118.34	105	177000.000
04-17-1991	117.92	118.34	117.89	117.90	201	259000.000
04-18-1991	117.45	117.93	117.45	117.45	178	133000.000
04-19-1991	117.08	117.50	117.05	117.08	646	424000.000
04-22-1991	116.63	117.08	116.58	116.63	430	321000.000
04-23-1991	116.21	116.63	116.15	116.19	282	264000.000
04-24-1991	115.70	116.19	115.70	115.79	148	121000.000
04-25-1991	115.38	115.79	115.33	115.36	1495	998000.000
04-26-1991	116.31	116.31	114.52	115.56	13354	5806000.000
04-29-1991	114.86	116.29	114.75	114.75	8411	3610000.000
04-30-1991	113.89	114.87	113.89	113.94	4850	2734000.000
05-02-1991	113.04	113.20	113.03	113.16	1465	1124000.000
05-03-1991	112.46	113.17	112.30	112.41	4230	2386000.000
05-06-1991	111.65	112.41	111.57	111.61	2764	1423000.000
05-07-1991	110.80	110.90	110.80	110.82	1875	907000.000
05-08-1991	110.16	110.82	110.00	110.03	423	375000.000
05-09-1991	109.36	110.12	109.31	109.29	2255	1220000.000
05-10-1991	108.61	109.40	108.53	108.53	249	313000.000
05-13-1991	107.88	107.88	107.74	107.84	235	182000.000
05-14-1991	107.21	107.84	107.06	107.19	267	185000.000
05-15-1991	106.56	106.60	106.42	106.57	390	307000.000
05-16-1991	105.83	105.86	105.69	105.77	3108	1445000.000
05-17-1991	105.12	106.75	104.96	106.75	20192	7633000.000
05-20-1991	107.76	107.82	106.71	107.82	863	924000.000
05-21-1991	108.89	108.89	108.62	108.81	771	1309000.000
05-22-1991	109.71	109.82	108.11	108.25	18677	7967000.000
05-23-1991	107.52	109.16	107.35	109.08	5609	2770000.000
05-24-1991	110.07	110.08	109.82	110.08	1024	661000.000
05-27-1991	111.05	111.07	109.47	110.66	8619	3827000.000
05-28-1991	111.61	111.68	111.36	111.68	1630	970000.000
05-29-1991	112.75	112.75	111.67	112.75	530	1320000.000
05-30-1991	113.74	113.82	112.77	113.82	388	753000.000
05-31-1991	114.83	114.83	113.84	114.83	1211	1470000.000
06-03-1991	115.90	115.97	114.89	115.97	954	1643000.000
06-04-1991	117.12	117.12	116.83	117.12	3603	2018000.000
06-05-1991	118.17	118.17	117.14	118.17	308	279000.000
06-06-1991	119.26	119.33	118.17	119.35	266	160000.000
06-07-1991	120.46	120.47	119.35	120.47	100	83000.000
06-10-1991	121.65	121.67	120.47	121.67	400	458000.000
06-11-1991	122.89	122.89	121.67	122.89	543	375000.000
06-12-1991	123.90	124.11	122.89	124.11	1372	735000.000
06-13-1991	125.33	125.34	123.65	125.34	20868	11563000.000
06-14-1991	124.47	126.34	124.47	124.53	6633	3541000.000
06-17-1991	125.63	125.77	123.54	125.77	6933	4056000.000
06-18-1991	127.03	127.03	126.67	127.03	2030	1015000.000
06-19-1991	128.12	128.29	127.03	128.29	1481	744000.000
06-20-1991	129.55	129.57	129.21	129.57	2299	1321000.000
06-21-1991	130.72	130.86	128.81	130.86	13613	7746000.000
06-24-1991	132.10	132.17	131.80	132.17	1960	1657000.000
06-25-1991	133.48	133.49	132.17	133.49	1624	1296000.000
06-26-1991	134.83	134.83	133.49	134.83	3409	2149000.000
06-27-1991	136.04	136.19	134.83	136.19	4497	2521000.000
06-28-1991	137.41	137.56	136.19	137.56	4935	3032000.000
07-01-1991	136.64	138.62	136.56	136.85	22940	12469000.000
07-02-1991	135.91	135.96	135.69	135.96	2838	3794000.000
07-03-1991	135.28	135.96	134.98	135.27	2715	1818000.000
07-04-1991	136.63	136.63	134.19	136.63	13394	8095000.000
07-05-1991	136.01	137.68	135.90	135.96	14540	9394000.000
07-08-1991	135.26	135.28	134.93	135.28	5874	2925000.000
07-09-1991	136.56	136.57	134.31	134.64	8442	4174000.000
07-10-1991	134.40	135.60	133.72	133.99	6023	2894000.000
07-11-1991	133.22	133.99	133.13	133.38	5073	2417000.000
07-12-1991	132.80	133.38	132.42	132.80	3144	1484000.000
07-15-1991	133.90	134.10	131.87	133.14	11938	5534000.000
07-16-1991	134.39	134.47	133.14	134.47	2796	1328000.000
07-17-1991	135.81	135.81	135.39	135.81	660	397000.000
07-18-1991	137.17	137.17	135.81	137.17	847	464000.000
07-19-1991	137.66	138.54	136.66	136.70	10823	5242000.000
07-22-1991	138.07	138.07	136.70	138.07	2764	1423000.000
07-23-1991	139.35	139.39	138.07	139.39	7241	3548000.000
07-24-1991	140.66	140.74	138.69	140.68	5988	2901000.000
07-25-1991	140.20	141.01	139.99	140.19	8390	4080000.000
07-26-1991	140.11	141.46	139.27	140.66	9279	4520000.000
07-29-1991	141.22	141.72	140.81	141.52	4771	2350000.000
07-30-1991	142.39	142.45	141.39	142.39	5601	2718000.000
07-31-1991	143.72	143.80	142.39	143.80	4051	1993000.000
08-01-1991	145.12	145.24	143.80	145.24	4731	2310000.000
08-02-1991	146.49	146.68	145.44	146.68	11744	5825000.000
08-05-1991	148.06	148.15	146.68	148.15	5126	2593000.000
08-06-1991	149.62	149.62	148.15	149.62	2001	1065000.000
08-07-1991	150.93	151.12	149.62	151.12	1107	580000.000
08-08-1991	152.57	152.61	151.12	152.61	1951	1045000.000
08-09-1991	153.90	154.10	152.61	154.10	3715	1990000.000
08-12-1991	155.34	155.54	154.10	155.54	3919	2154000.000
